Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,26-May-2017,31-Aug-2017,CE,10000,38,50.4,32.2,49.7,48.65,49.7,2056,15483.43,63.43,146625,146625,9595.1
NIFTY,29-May-2017,31-Aug-2017,CE,10000,48.65,62.65,44.6,57.4,61.15,57.4,864,6515.05,35.05,169350,22725,9604.9
NIFTY,30-May-2017,31-Aug-2017,CE,10000,57.1,68.4,57.1,66.55,64.3,66.55,286,2158.71,13.71,180825,11475,9624.55
NIFTY,31-May-2017,31-Aug-2017,CE,10000,64.5,68.5,63,65.75,66,65.75,331,2498.85,16.35,187425,6600,9621.25
NIFTY,01-Jun-2017,31-Aug-2017,CE,10000,66,68.7,59.85,65.85,66.25,65.85,203,1532.53,10.03,196950,9525,9616.1
NIFTY,02-Jun-2017,31-Aug-2017,CE,10000,75,75,64.55,66.75,64.7,66.75,292,2205.2,15.2,197025,75,9653.5
NIFTY,05-Jun-2017,31-Aug-2017,CE,10000,67.8,81.4,67.05,77.05,77.35,77.05,522,3944.33,29.33,213900,16875,9675.1
NIFTY,06-Jun-2017,31-Aug-2017,CE,10000,78,78,70.1,72.2,72.25,72.2,130,982.06,7.06,214275,375,9637.15
NIFTY,07-Jun-2017,31-Aug-2017,CE,10000,71.85,78,65.8,73.3,74.05,73.3,237,1790.5,13,209400,-4875,9663.9
NIFTY,08-Jun-2017,31-Aug-2017,CE,10000,77,77,66.6,68.35,68.95,68.35,349,2635.86,18.36,206850,-2550,9647.25
NIFTY,09-Jun-2017,31-Aug-2017,CE,10000,65,77,55.8,74.05,70.9,74.05,514,3879.1,24.1,204375,-2475,9668.25
NIFTY,12-Jun-2017,31-Aug-2017,CE,10000,60.25,62.6,52.5,56.45,58,56.45,812,6124.49,34.49,201300,-3075,9616.4
NIFTY,13-Jun-2017,31-Aug-2017,CE,10000,60.6,62.3,50.9,53.35,52.7,53.35,555,4186.12,23.62,206625,5325,9606.9
NIFTY,14-Jun-2017,31-Aug-2017,CE,10000,52,56.95,48.4,55.65,55.45,55.65,204,1538.05,8.05,210075,3450,9618.15
NIFTY,15-Jun-2017,31-Aug-2017,CE,10000,52.2,53.25,46,48,47.3,48,787,5932.13,29.63,245100,35025,9578.05
NIFTY,16-Jun-2017,31-Aug-2017,CE,10000,49.95,50,41.6,42.85,42,42.85,429,3232.2,14.7,266925,21825,9617.8
NIFTY,19-Jun-2017,31-Aug-2017,CE,10000,46.3,60,41.2,56.95,54.85,56.95,693,5225.57,28.07,249375,-17550,9657.55
NIFTY,20-Jun-2017,31-Aug-2017,CE,10000,57.2,59.05,51.3,54.3,54.9,54.3,589,4441.95,24.45,270600,21225,9653.5
NIFTY,21-Jun-2017,31-Aug-2017,CE,10000,49.5,52,43.25,49.45,51.1,49.45,480,3616.87,16.87,289800,19200,9633.6
NIFTY,22-Jun-2017,31-Aug-2017,CE,10000,53.9,61.6,40.85,44.2,46,44.2,1373,10354.26,56.76,325050,35250,9630
NIFTY,23-Jun-2017,31-Aug-2017,CE,10000,43.55,45.25,36.3,38.2,39.5,38.2,1162,8750.14,35.14,310950,-14100,9574.95
NIFTY,27-Jun-2017,31-Aug-2017,CE,10000,42.5,42.9,23,26.3,26.15,26.3,2512,18892.77,52.77,414750,103800,9511.4
NIFTY,28-Jun-2017,31-Aug-2017,CE,10000,25.3,28.05,20.25,22,23.5,22,1046,7862.93,17.93,433800,19050,9491.25
NIFTY,29-Jun-2017,31-Aug-2017,CE,10000,25.05,28.5,19.5,20.55,19.6,20.55,2544,19125.15,45.15,538725,104925,9504.1
NIFTY,30-Jun-2017,31-Aug-2017,CE,10000,19.4,21.05,14.5,19.8,19.95,19.8,3990,29974.71,49.71,570600,31875,9520.9
NIFTY,03-Jul-2017,31-Aug-2017,CE,10000,19.05,31.75,19,29.65,30.25,29.65,5538,41640.67,105.67,653475,82875,9615
NIFTY,04-Jul-2017,31-Aug-2017,CE,10000,30.25,33.5,27.2,30.75,30.15,30.75,5617,42254.84,127.34,717900,64425,9613.3
NIFTY,05-Jul-2017,31-Aug-2017,CE,10000,30,34.15,28.7,33.15,33.2,33.15,4419,33247.25,104.75,827625,109725,9637.6
NIFTY,06-Jul-2017,31-Aug-2017,CE,10000,32.9,41.5,31.95,36.55,35.15,36.55,4781,35992,134.5,800550,-27075,9674.55
NIFTY,07-Jul-2017,31-Aug-2017,CE,10000,34.65,37.15,31.05,34.65,34.4,34.65,3485,26226.03,88.53,837750,37200,9665.8
NIFTY,10-Jul-2017,31-Aug-2017,CE,10000,38.95,62.05,37.4,58.4,58.4,58.4,8589,64751.18,333.68,954150,116400,9771.05
NIFTY,11-Jul-2017,31-Aug-2017,CE,10000,64,73.25,52.6,58.6,59.55,58.6,14986,113138.45,743.45,1192050,237900,9786.05
NIFTY,12-Jul-2017,31-Aug-2017,CE,10000,64.1,77,61.45,73.35,76.5,73.35,7892,59592.4,402.4,1160625,-31425,9816.1
NIFTY,13-Jul-2017,31-Aug-2017,CE,10000,88.8,101.05,87.05,98.45,98.05,98.45,11926,90276.78,831.78,1204725,44100,9891.7
NIFTY,14-Jul-2017,31-Aug-2017,CE,10000,102,103.55,84.95,101.2,102.25,101.2,12017,90966.85,839.35,1431675,226950,9886.35
NIFTY,17-Jul-2017,31-Aug-2017,CE,10000,106.3,124,103,120.05,119,120.05,16445,124748.18,1410.68,1568325,136650,9915.95
NIFTY,18-Jul-2017,31-Aug-2017,CE,10000,101.2,108.45,78.15,84.5,87.9,84.5,19276,145922.28,1352.28,1799325,231000,9827.15
NIFTY,19-Jul-2017,31-Aug-2017,CE,10000,91.7,114.2,90.55,110.7,113,110.7,14698,111331.84,1096.84,1846800,47475,9899.6
NIFTY,20-Jul-2017,31-Aug-2017,CE,10000,111.15,115.85,88.25,96.75,97.15,96.75,15892,120366.55,1176.55,2005125,158325,9873.3
NIFTY,21-Jul-2017,31-Aug-2017,CE,10000,102,106.7,75.75,103.95,103.9,103.95,26987,204324.34,1921.84,2196300,191175,9915.25
NIFTY,24-Jul-2017,31-Aug-2017,CE,10000,106.75,130.95,104.35,125.2,128.7,125.2,29621,224870.24,2712.74,2277600,81300,9966.4
NIFTY,25-Jul-2017,31-Aug-2017,CE,10000,139.85,147.85,123,134.5,134.5,134.5,26320,199995.47,2595.47,2309850,32250,9964.55
NIFTY,26-Jul-2017,31-Aug-2017,CE,10000,134.85,171.95,131,164.8,169.95,164.8,28178,214483.75,3148.75,2538225,228375,10020.65
NIFTY,27-Jul-2017,31-Aug-2017,CE,10000,182.7,218,152.45,162.1,165.1,162.1,57098,436467.39,8232.39,3012675,474450,10020.55
NIFTY,28-Jul-2017,31-Aug-2017,CE,10000,124.05,151.45,114.65,146.3,146,146.3,115220,875869.88,11719.88,2809875,-202800,10014.5
NIFTY,31-Jul-2017,31-Aug-2017,CE,10000,156.3,193,148.1,185.2,188.25,185.2,48566,370385.15,6140.15,2761275,-48600,10077.1
NIFTY,01-Aug-2017,31-Aug-2017,CE,10000,195.8,220,191.1,209.5,216.7,209.5,25664,196367.54,3887.54,2690100,-71175,10114.65
NIFTY,02-Aug-2017,31-Aug-2017,CE,10000,218.8,218.8,165.2,180.95,169.85,180.95,21751,166277.54,3145.04,2519550,-170550,10081.5
NIFTY,03-Aug-2017,31-Aug-2017,CE,10000,164.4,172.8,126.1,136.8,132,136.8,52258,397702.2,5767.2,2634375,114825,10013.65
NIFTY,04-Aug-2017,31-Aug-2017,CE,10000,130.05,179.95,118.45,170.7,174.5,170.7,81208,617909.82,8849.82,2784075,149700,10066.4
NIFTY,07-Aug-2017,31-Aug-2017,CE,10000,170.3,177.5,151,159.45,155.2,159.45,27674,211012.4,3457.4,2654325,-129750,10057.4
NIFTY,08-Aug-2017,31-Aug-2017,CE,10000,158.3,165.4,88.5,107.05,107.9,107.05,134775,1022298.55,11486.05,3324225,669900,9978.55
NIFTY,09-Aug-2017,31-Aug-2017,CE,10000,95,101.9,69.4,76.45,70,76.45,176232,1333270.5,11530.5,4081500,757275,9908.05
NIFTY,10-Aug-2017,31-Aug-2017,CE,10000,64.6,65.7,35.05,48.65,55.85,48.65,241525,1821107.88,9670.38,5116650,1035150,9820.25
NIFTY,11-Aug-2017,31-Aug-2017,CE,10000,29.9,36,22.15,25.75,25.5,25.75,247049,1858380.4,5512.9,5476425,359775,9710.8
NIFTY,14-Aug-2017,31-Aug-2017,CE,10000,33.35,40,27.05,32.2,30.5,32.2,144062,1083856.81,3391.81,5602725,126300,9794.15
NIFTY,16-Aug-2017,31-Aug-2017,CE,10000,30,53.5,22.6,52.15,53.3,52.15,207847,1564612.63,5760.13,5562225,-40500,9897.3
NIFTY,17-Aug-2017,31-Aug-2017,CE,10000,55,60.95,38,45.45,46.1,45.45,229011,1726136.15,8553.65,5368575,-193650,9904.15
NIFTY,18-Aug-2017,31-Aug-2017,CE,10000,37,42.9,20,29.65,27.1,29.65,240314,1807056.22,4701.22,5903925,535350,9837.4
NIFTY,21-Aug-2017,31-Aug-2017,CE,10000,25.55,31.45,11.45,12.65,11.65,12.65,248690,1868778.17,3603.17,5896800,-7125,9754.35
NIFTY,22-Aug-2017,31-Aug-2017,CE,10000,13.35,17.6,9.2,10.25,10.5,10.25,257452,1933256.69,2366.69,5888700,-8100,9765.55
NIFTY,23-Aug-2017,31-Aug-2017,CE,10000,14.65,15.25,7.75,14,12.75,14,196919,1478601.11,1708.61,5505000,-383700,9852.5
NIFTY,24-Aug-2017,31-Aug-2017,CE,10000,14.2,16.5,9.1,11,11.5,11,183812,1380323.22,1733.22,5795700,290700,9857.05
NIFTY,28-Aug-2017,31-Aug-2017,CE,10000,13.5,20,8.5,14.3,12.95,14.3,294995,2215545.13,3082.63,5869725,74025,9912.8
NIFTY,29-Aug-2017,31-Aug-2017,CE,10000,8,9.9,1.45,2,1.7,2,370363,2778620.46,897.96,5753325,-116400,9796.05
NIFTY,30-Aug-2017,31-Aug-2017,CE,10000,2.1,8.1,1.65,2.3,2,2.3,364458,2734582.37,1147.37,5770425,17100,9884.4
NIFTY,31-Aug-2017,31-Aug-2017,CE,10000,0.9,1.85,0.05,0.05,0.05,0,356611,2674665.14,82.64,7088925,1318500,9917.9
